Exam_Score,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Internet_Access,Tutoring_Sessions,School_Type,Physical_Activity,Distance_from_Home,Motivation_Level
68,82,High,Medium,7,Yes,1,Public,5,Near,Medium
68,89,Low,Medium,9,Yes,0,Public,3,Moderate,Medium
88,62,High,Medium,7,Yes,3,Private,3,Moderate,High
66,60,Medium,High,8,Yes,1,Public,2,Near,Medium
67,78,High,Low,7,Yes,3,Public,2,Near,High
63,65,Medium,High,7,Yes,2,Private,4,Moderate,Low
68,87,Medium,High,7,Yes,3,Public,4,Near,Medium
65,69,High,Low,6,Yes,2,Public,1,Near,Low
67,77,High,Medium,7,Yes,1,Private,3,Near,Medium
67,68,High,High,8,No,3,Private,1,Near,Medium
67,82,Medium,Medium,7,Yes,1,Public,4,Near,Medium
64,65,Medium,Low,7,Yes,1,Public,3,Far,Low
61,61,Medium,Medium,8,Yes,1,Public,2,Moderate,Medium
65,62,Medium,Medium,7,Yes,2,Public,1,Far,Medium
70,98,Low,High,7,Yes,1,Private,4,Moderate,High
67,66,Medium,High,8,Yes,0,Public,2,Near,Medium
68,88,High,Low,7,Yes,1,Private,2,Moderate,Medium
65,63,Medium,Medium,7,Yes,1,Private,1,Far,Medium
63,64,High,Medium,8,Yes,3,Private,3,Far,Low
72,80,Medium,High,7,Yes,1,Public,3,Moderate,Medium
68,79,High,Medium,7,Yes,2,Public,1,Near,Medium
73,98,Medium,High,7,Yes,2,Public,4,Near,Medium
71,98,High,Medium,7,Yes,0,Public,3,Near,High
70,91,Medium,High,5,Yes,3,Public,2,Far,Medium
68,84,High,Medium,7,Yes,0,Public,3,Near,Low
68,78,Medium,High,10,Yes,3,Public,5,Moderate,Medium
68,74,Medium,Medium,6,Yes,2,Public,3,Near,Low
71,98,Low,High,6,Yes,1,Private,1,Moderate,Medium
70,84,Medium,Medium,10,Yes,4,Public,2,Near,Low
67,83,High,Medium,6,Yes,2,Public,3,Near,Medium
61,69,Low,Medium,9,Yes,0,Public,3,Near,Medium
64,62,High,Low,7,Yes,1,Public,3,Moderate,Low
72,98,Low,Medium,7,Yes,1,Public,4,Near,Medium
67,73,High,Medium,7,Yes,1,Private,4,Moderate,Low
65,78,High,Low,8,Yes,1,Public,3,Near,High
64,65,Medium,Low,5,Yes,1,Public,6,Moderate,High
66,93,Low,Medium,7,Yes,0,Private,2,Near,Medium
62,61,Medium,Medium,6,Yes,1,Public,2,Moderate,Medium
70,93,Low,Medium,4,Yes,2,Public,3,Near,Medium
64,66,Medium,Medium,9,No,1,Public,4,Moderate,Medium
70,95,Medium,Low,4,Yes,3,Public,3,Near,Low
66,89,Medium,Low,10,Yes,1,Public,2,Moderate,Medium
62,67,Low,High,8,Yes,0,Public,3,Far,Medium
63,83,Low,Low,5,Yes,4,Private,2,Near,High
66,73,Low,Medium,9,Yes,2,Public,3,Near,High
58,67,Medium,Medium,6,Yes,1,Private,2,Moderate,Low
70,94,Medium,High,6,Yes,1,Public,3,Moderate,Medium
63,76,Medium,Low,4,Yes,1,Private,6,Near,Medium
70,76,Medium,High,6,Yes,0,Public,1,Near,High
65,67,High,Medium,6,Yes,1,Public,3,Near,Medium
67,75,Medium,Low,8,Yes,5,Public,3,Near,Medium
73,95,High,Medium,9,No,1,Private,2,Near,Medium
82,75,Medium,Medium,5,Yes,0,Public,3,Moderate,Medium
71,98,Low,Medium,7,Yes,0,Public,2,Near,High
73,98,Medium,Medium,4,Yes,1,Public,4,Near,Low
65,66,Medium,High,7,Yes,1,Public,4,Moderate,Low
67,67,High,Medium,10,Yes,1,Public,3,Near,Medium
67,95,Medium,Medium,4,No,1,Public,4,Moderate,Low
69,76,High,High,5,Yes,4,Public,4,Moderate,Medium
61,60,Medium,High,8,Yes,0,Public,3,Near,Low
64,71,Medium,Low,8,Yes,3,Private,4,Near,Medium
64,84,Low,High,6,Yes,1,Public,2,Far,Low
68,92,Low,Medium,9,Yes,2,Public,2,Far,Low
62,65,Medium,Low,6,Yes,1,Private,1,Near,Medium
66,64,Medium,Medium,10,Yes,5,Public,3,Near,High
70,97,High,Low,8,Yes,1,Public,4,Near,Medium
67,90,High,Medium,9,Yes,3,Public,3,Near,Low
70,84,Medium,Medium,8,Yes,2,Public,2,Near,Medium
65,91,Medium,Medium,8,Yes,0,Public,4,Moderate,High
65,77,Low,Medium,8,Yes,1,Public,4,Moderate,Medium
70,90,Medium,High,9,Yes,3,Public,3,Near,Medium
72,75,High,Medium,7,Yes,1,Private,3,Moderate,High
65,70,Medium,Medium,6,Yes,0,Public,2,Near,Low
71,89,High,High,7,Yes,1,Public,2,Near,Medium
71,77,High,High,6,Yes,3,Private,3,Near,Low
72,99,Medium,High,6,Yes,1,Public,5,Near,High
64,74,Low,Low,9,Yes,0,Public,4,Near,Low
72,97,Medium,Medium,8,Yes,2,Public,1,Moderate,High
71,97,Low,Medium,8,Yes,1,Private,4,Near,Medium
66,70,Medium,Medium,9,Yes,0,Public,3,Moderate,Low
71,92,High,Low,8,Yes,3,Private,3,Near,Medium
67,77,Medium,Medium,10,Yes,2,Public,2,Near,High
69,97,High,High,4,Yes,1,Public,2,Near,Low
67,78,High,Medium,6,Yes,0,Public,5,Moderate,High
71,90,High,Medium,6,Yes,0,Public,4,Near,Medium
66,79,Medium,Low,5,Yes,1,Private,2,Moderate,Low
62,69,High,High,7,Yes,1,Private,2,Far,Low
67,68,Medium,Medium,7,Yes,0,Private,2,Moderate,High
70,77,Medium,Low,10,Yes,2,Public,4,Near,High
72,90,High,High,8,Yes,0,Public,3,Moderate,High
69,84,High,High,6,Yes,3,Private,2,Near,Medium
70,88,Medium,High,8,Yes,1,Public,3,Moderate,High
64,71,High,High,4,Yes,0,Public,3,Near,Medium
65,79,Medium,Medium,7,No,1,Public,3,Near,Low
66,62,Medium,High,7,Yes,2,Public,2,Near,Medium
68,93,Low,Medium,6,Yes,2,Private,3,Near,High
72,100,Medium,Medium,7,Yes,2,Private,3,Near,Medium
65,76,Medium,Low,6,Yes,2,Public,3,Moderate,Medium
60,60,Medium,Low,6,Yes,3,Private,2,Moderate,Medium
63,67,Medium,Medium,8,Yes,0,Public,4,Near,Medium
66,86,Low,Low,9,Yes,3,Public,3,Near,Low
73,84,Low,Medium,8,Yes,1,Public,4,Near,Low
71,92,Medium,Medium,6,Yes,4,Public,4,Near,Low
59,70,Medium,Medium,6,Yes,1,Public,2,Far,Low
70,91,Medium,Low,6,Yes,5,Public,3,Moderate,Medium
63,88,Medium,Low,7,Yes,1,Private,3,Near,Low
67,73,Medium,Medium,6,Yes,1,Public,4,Near,Medium
65,82,Low,Medium,9,Yes,2,Private,2,Moderate,Medium
64,66,Medium,Low,7,Yes,5,Public,4,Moderate,Medium
71,78,High,Medium,8,Yes,2,Public,2,Near,Low
70,95,Medium,High,5,Yes,2,Public,2,Near,Medium
63,77,Medium,Low,6,Yes,2,Public,2,Near,Medium
68,94,Low,Medium,8,Yes,3,Public,2,Near,Medium
67,84,Medium,Medium,8,No,1,Public,2,Near,Medium
66,68,Medium,High,5,Yes,1,Public,4,Near,Medium
63,83,High,Low,7,Yes,2,Public,5,Moderate,Low
65,80,Medium,Medium,7,Yes,0,Private,5,Near,Medium
66,76,Medium,High,6,Yes,2,Public,3,Far,Low
65,65,Medium,Medium,8,Yes,2,Public,4,Near,Medium
65,77,Low,Medium,5,Yes,2,Private,4,Near,Medium
63,63,High,Low,6,Yes,2,Public,2,Near,Medium
65,64,Medium,High,8,Yes,0,Public,3,Near,Medium
62,77,Low,High,7,Yes,1,Private,4,Far,Medium
66,72,Medium,Medium,7,Yes,1,Public,3,Near,Medium
71,97,Medium,Low,7,Yes,1,Public,3,Near,Medium
64,75,Low,Low,8,Yes,2,Public,2,Far,High
67,90,Medium,Medium,8,Yes,0,Private,4,Near,Low
68,81,Medium,Medium,8,Yes,1,Private,3,Near,Medium
63,88,Medium,Medium,7,Yes,3,Public,3,Near,Medium
64,70,Low,Medium,6,Yes,0,Public,3,Near,High
74,98,High,High,6,Yes,1,Public,1,Near,Medium
68,81,Low,Medium,5,Yes,2,Public,4,Near,Medium
68,93,Medium,Medium,6,No,1,Public,3,Moderate,Low
69,75,High,High,6,No,2,Public,3,Moderate,Medium
61,64,Low,Medium,9,Yes,4,Public,4,Near,Medium
69,87,Low,High,5,Yes,1,Private,2,Near,High
61,60,Low,Low,9,Yes,3,Public,3,Near,Low
67,79,Medium,High,7,Yes,3,Public,3,Near,Low
63,68,Low,High,7,Yes,0,Private,4,Near,Medium
68,85,Medium,Medium,8,Yes,3,Public,3,Moderate,Medium
68,99,Medium,Medium,5,No,0,Private,5,Moderate,Low
67,79,Medium,Low,6,Yes,2,Public,1,Near,Low
69,93,Low,Medium,5,Yes,1,Private,3,Moderate,High
64,80,High,Medium,6,Yes,2,Public,3,Near,Medium
67,80,Low,Low,6,Yes,1,Public,4,Near,Low
70,97,Medium,High,9,Yes,1,Public,3,Near,Low
72,96,Low,High,6,Yes,5,Public,4,Near,Low
71,91,Low,High,4,Yes,1,Private,2,Moderate,Medium
62,72,Medium,Medium,6,Yes,1,Public,3,Near,High
67,82,Medium,Medium,8,Yes,2,Private,5,Near,High
64,69,Medium,High,9,Yes,3,Public,2,Far,Medium
64,78,Medium,Medium,7,Yes,0,Public,2,Near,Medium
70,79,High,Medium,6,Yes,1,Public,4,Near,Medium
68,93,Medium,Medium,7,Yes,3,Public,5,Near,Medium
70,96,Medium,Medium,8,Yes,1,Public,3,Near,Medium
65,77,Medium,Low,5,Yes,1,Public,3,Far,Low
59,61,Low,Low,7,Yes,2,Public,2,Near,Low
69,94,Medium,Medium,7,Yes,1,Public,2,Far,Medium
67,67,Medium,Medium,7,Yes,2,Public,3,Near,High
68,85,Medium,High,7,Yes,2,Private,4,Near,Medium
62,61,Medium,Medium,6,Yes,1,Public,1,Near,Low
65,76,High,Medium,8,No,0,Private,4,Moderate,Low
69,99,High,Medium,7,Yes,0,Private,5,Near,Medium
65,64,Medium,Medium,7,Yes,3,Private,4,Moderate,Medium
68,77,High,Low,5,Yes,1,Public,2,Near,High
68,72,High,Low,8,Yes,4,Public,2,Near,Medium
71,96,High,Medium,6,No,3,Public,3,Near,High
71,95,Medium,Low,9,Yes,3,Public,4,Moderate,Medium
66,70,High,Medium,5,Yes,1,Public,3,Near,High
71,63,Medium,High,8,Yes,4,Private,3,Near,Medium
66,85,Medium,Medium,4,Yes,2,Public,3,Near,Low
66,73,High,Low,4,Yes,0,Private,4,Moderate,Medium
65,61,Medium,Medium,4,Yes,0,Public,3,Moderate,Medium
66,65,High,Low,8,Yes,2,Public,3,Near,Medium
67,87,Medium,Low,7,Yes,2,Public,2,Far,Medium
66,68,Medium,Medium,9,Yes,1,Private,4,Moderate,Low
69,94,Medium,Medium,7,Yes,0,Public,3,Near,Medium
66,62,High,Low,7,Yes,2,Public,4,Near,Medium
64,69,High,Medium,7,Yes,0,Public,3,Near,Low
70,100,High,High,6,Yes,0,Public,2,Near,Medium
62,77,Low,Medium,6,No,1,Private,4,Moderate,Low
67,88,Low,Medium,5,Yes,1,Public,5,Moderate,High
60,67,Low,Medium,8,Yes,1,Public,2,Moderate,Medium
66,84,Low,Low,7,Yes,1,Public,3,Near,Low
72,89,Medium,Medium,7,Yes,0,Public,2,Near,Medium
63,73,Medium,High,10,Yes,2,Public,3,Near,Medium
69,93,Low,Low,6,Yes,1,Public,3,Near,Low
66,84,High,High,7,Yes,1,Private,3,Moderate,High
69,76,Medium,Medium,7,Yes,2,Public,2,Near,Medium
68,82,High,Medium,9,Yes,2,Private,3,Moderate,Low
66,83,Medium,Low,7,Yes,3,Public,4,Moderate,Medium
63,67,Medium,Medium,7,Yes,0,Private,2,Moderate,Low
70,76,Medium,Medium,10,Yes,1,Public,3,Near,High
68,74,Medium,Medium,6,Yes,2,Public,4,Moderate,Medium
68,76,Medium,Medium,7,Yes,2,Public,4,Far,Medium
67,90,Medium,Medium,8,Yes,1,Private,3,Moderate,Medium
67,79,High,High,6,Yes,1,Public,1,Moderate,Low
69,98,High,Low,8,Yes,3,Public,3,Moderate,Medium
68,72,Medium,Medium,6,Yes,3,Public,5,Near,Low
67,77,Medium,Low,9,Yes,0,Public,1,Moderate,Medium
70,91,High,Medium,8,Yes,0,Public,2,Moderate,Low
70,82,High,High,7,Yes,3,Public,3,Moderate,Low
66,82,Medium,Low,5,Yes,2,Public,2,Moderate,Medium
61,62,High,High,6,Yes,0,Private,2,Near,High
68,76,Low,High,7,Yes,2,Public,2,Near,Medium
64,71,Low,Medium,8,Yes,1,Public,2,Near,Low
66,100,Low,Low,7,Yes,1,Public,2,Near,Medium
73,95,Medium,High,8,Yes,3,Public,6,Near,Medium
66,87,Low,Low,8,No,3,Public,4,Near,Medium
65,74,High,High,7,Yes,2,Public,3,Moderate,Medium
68,82,Medium,High,7,Yes,0,Public,4,Near,Medium
69,94,Medium,Medium,7,Yes,0,Public,3,Near,Low
72,95,Low,High,6,Yes,1,Public,4,Near,High
63,66,Medium,Medium,9,Yes,3,Private,3,Near,Medium
65,74,Low,Medium,8,Yes,0,Private,1,Near,Medium
69,73,High,Medium,9,Yes,0,Public,4,Near,Low
62,62,High,Low,6,Yes,2,Private,3,Far,Medium
66,84,Medium,High,8,Yes,0,Public,3,Near,Low
69,94,Low,Low,9,Yes,3,Private,2,Moderate,Medium
67,75,High,Medium,9,Yes,2,Public,4,Moderate,Medium
94,90,Medium,High,5,Yes,0,Public,2,Far,Low
71,85,Medium,Medium,7,Yes,2,Private,2,Near,High
61,75,Medium,Medium,7,Yes,2,Public,4,Near,Low
68,66,High,Medium,9,Yes,2,Public,2,Near,Medium
66,88,Medium,Medium,4,Yes,0,Public,4,Near,Low
71,94,High,High,5,Yes,0,Public,5,Near,Medium
66,87,Low,Medium,9,Yes,3,Public,4,Moderate,Low
60,61,Low,Medium,6,Yes,2,Private,2,Near,Medium
60,69,Medium,Medium,5,Yes,0,Private,3,Near,Low
66,63,Low,Low,9,No,3,Public,3,Near,High
67,83,Medium,Low,5,Yes,1,Public,2,Far,Medium
67,90,Low,Low,9,Yes,4,Private,3,Moderate,Low
64,64,Medium,Medium,5,Yes,2,Public,1,Near,Medium
66,94,Medium,Medium,5,Yes,0,Public,3,Near,Medium
68,82,High,Low,7,Yes,1,Public,3,Near,High
70,88,High,Low,6,Yes,1,Public,3,Moderate,Medium
75,99,High,Medium,7,Yes,3,Private,4,Moderate,Medium
86,63,High,High,10,Yes,0,Private,2,Moderate,Medium
73,96,Medium,Medium,7,Yes,3,Private,3,Near,High
61,65,Medium,Low,9,Yes,1,Public,3,Moderate,Medium
68,76,High,High,7,Yes,0,Private,6,Moderate,Medium
70,94,Medium,High,8,Yes,1,Public,0,Far,Medium
71,96,Medium,Medium,4,Yes,1,Public,2,Near,High
71,80,High,Medium,8,Yes,2,Private,4,Near,High
68,84,Medium,Medium,8,Yes,2,Public,1,Near,High
70,88,High,High,6,Yes,2,Public,4,Near,Medium
70,93,Medium,Medium,10,Yes,1,Public,3,Moderate,Low
62,65,Medium,High,6,Yes,0,Private,3,Moderate,Low
67,92,High,Low,5,Yes,3,Public,1,Near,High
68,79,Medium,Medium,8,Yes,3,Public,3,Near,High
68,78,High,High,5,Yes,1,Public,3,Near,Medium
64,77,High,High,7,Yes,2,Private,1,Far,Low
68,80,Medium,High,9,Yes,1,Public,3,Near,Medium
69,98,Low,High,8,Yes,0,Public,3,Near,Medium
70,82,Medium,High,7,Yes,1,Public,3,Near,Low
73,98,Medium,Medium,6,Yes,4,Public,4,Near,Medium
66,67,High,Medium,9,Yes,1,Public,3,Moderate,Medium
68,89,Low,Medium,5,Yes,0,Public,3,Moderate,Low
68,92,Low,Medium,8,No,1,Public,3,Near,High
65,87,Low,Medium,10,Yes,2,Private,0,Moderate,Low
66,84,Medium,Medium,8,Yes,2,Public,3,Near,High
62,83,High,Low,7,Yes,0,Public,1,Far,Medium
67,94,Low,Low,7,Yes,3,Private,2,Near,Low
73,93,Medium,High,6,Yes,1,Public,3,Near,High
65,65,Medium,Low,6,Yes,2,Private,2,Near,Medium
70,94,High,Low,7,Yes,2,Private,4,Near,High
68,77,High,Medium,8,Yes,3,Public,2,Near,Medium
67,70,High,Medium,9,Yes,3,Private,3,Moderate,Medium
66,95,Low,Medium,4,Yes,2,Public,3,Moderate,High
65,77,Medium,Low,4,Yes,3,Public,4,Near,Low
66,92,High,Low,9,Yes,1,Public,4,Moderate,Low
66,71,High,High,7,Yes,2,Public,4,Near,Low
60,60,Medium,High,7,Yes,2,Public,1,Moderate,High
66,80,High,Low,8,Yes,0,Public,4,Near,Medium
68,64,High,Medium,7,Yes,2,Private,4,Moderate,Low
72,90,Medium,Medium,10,Yes,3,Public,5,Near,Low
68,71,Low,High,8,No,1,Public,3,Near,Medium
67,78,Medium,Medium,6,Yes,0,Public,3,Near,High
62,63,High,Medium,6,Yes,0,Public,4,Near,High
66,71,Medium,Medium,7,Yes,0,Public,5,Moderate,High
69,91,High,Medium,6,Yes,0,Private,3,Near,Medium
64,66,Medium,Medium,10,Yes,0,Public,3,Near,Low
63,86,Low,Medium,7,No,0,Private,3,Near,Medium
74,97,Low,High,5,Yes,2,Public,2,Near,Medium
72,87,High,Medium,8,Yes,0,Private,4,Moderate,Medium
71,92,Medium,Medium,9,No,1,Private,3,Near,Medium
64,64,Low,High,9,Yes,2,Public,3,Moderate,Medium
65,70,High,High,6,No,0,Public,3,Near,Low
75,96,Medium,Medium,5,Yes,1,Public,5,Moderate,High
69,89,High,Medium,9,Yes,2,Public,3,Far,Medium
65,86,Medium,Medium,5,Yes,1,Public,4,Moderate,Medium
60,87,Low,Low,8,No,0,Public,1,Moderate,Low
69,77,Medium,Medium,6,Yes,2,Public,4,Near,Medium
65,62,High,High,9,Yes,4,Public,4,Far,High
67,91,Low,Medium,5,Yes,0,Private,4,Moderate,Low
70,87,High,Low,6,Yes,5,Private,2,Far,Low
66,79,Medium,Low,8,Yes,1,Public,4,Moderate,Low
69,96,Medium,Medium,8,Yes,0,Public,4,Moderate,Medium
69,73,Medium,Medium,9,Yes,2,Public,3,Near,Medium
68,72,High,Medium,8,Yes,1,Public,2,Near,Low
70,95,Medium,Medium,8,Yes,5,Private,4,Near,Medium
66,92,Medium,Low,9,Yes,2,Private,2,Moderate,High
65,81,High,Medium,5,No,0,Public,3,Near,Low
65,65,Low,Medium,6,Yes,1,Public,4,Near,Medium
65,69,Low,Medium,5,Yes,1,Private,2,Near,Medium
69,86,Low,Medium,4,Yes,0,Public,3,Near,Medium
69,75,Medium,Medium,8,Yes,4,Public,2,Moderate,Medium
65,93,Medium,High,9,Yes,0,Private,3,Moderate,Low
76,98,High,High,8,No,1,Public,3,Near,High
72,92,Medium,High,8,Yes,2,Private,3,Near,Low
67,75,Medium,Low,7,Yes,2,Public,4,Near,Medium
74,92,High,Medium,7,Yes,3,Public,3,Near,Medium
66,74,Medium,Medium,10,Yes,2,Public,3,Near,High
66,67,High,High,9,Yes,2,Private,3,Near,Medium
66,61,Medium,High,6,Yes,4,Public,3,Near,High
71,75,Low,High,9,Yes,5,Public,5,Near,High
66,96,Medium,Low,9,Yes,0,Public,3,Moderate,Medium
65,70,Low,High,8,Yes,1,Public,2,Near,High
69,68,Low,High,8,Yes,1,Public,3,Near,Medium
69,99,Medium,Low,8,Yes,1,Public,2,Near,Low
63,61,Medium,Medium,5,Yes,2,Public,2,Far,Low
68,91,Low,Medium,5,Yes,0,Public,3,Near,High
64,73,Medium,Medium,8,Yes,1,Public,3,Near,Medium
64,61,Medium,Medium,5,Yes,2,Public,2,Near,Medium
73,97,Medium,High,5,Yes,1,Public,5,Moderate,High
66,66,Low,High,4,Yes,2,Public,2,Moderate,High
67,82,Medium,High,6,Yes,4,Private,3,Moderate,Low
63,71,High,Medium,8,Yes,3,Private,1,Near,Medium
61,63,Medium,Medium,8,Yes,1,Public,3,Moderate,High
71,62,Medium,Medium,8,Yes,4,Public,4,Moderate,High
61,65,Low,Medium,6,Yes,1,Public,3,Near,Medium
62,63,Medium,Low,7,Yes,1,Private,3,Moderate,Low
74,90,High,High,8,Yes,1,Private,4,Near,Medium
65,79,Medium,Medium,8,Yes,2,Private,4,Near,Medium
64,74,Low,Low,6,Yes,2,Public,3,Moderate,Low
66,77,Low,Low,7,Yes,1,Public,4,Moderate,Medium
76,96,High,Medium,7,Yes,0,Private,4,Near,Medium
67,89,Medium,Medium,6,Yes,4,Public,3,Moderate,Medium
71,95,Medium,High,9,Yes,3,Private,3,Near,Low
65,73,High,Medium,6,Yes,1,Public,3,Near,Medium
68,75,Low,Low,7,Yes,3,Private,4,Near,Medium
68,85,Medium,Medium,6,Yes,1,Public,3,Far,Low
67,85,High,Low,6,Yes,3,Private,2,Far,Low
64,79,Medium,Low,8,Yes,1,Public,2,Near,Medium
60,76,Low,High,6,No,0,Public,4,Near,Low
70,99,Medium,Medium,10,Yes,1,Public,3,Near,Low
73,93,High,Medium,4,Yes,1,Private,2,Near,High
69,77,Medium,Medium,8,Yes,2,Private,3,Moderate,Low
70,89,High,Medium,7,Yes,0,Public,5,Near,Medium
64,71,Medium,Medium,7,Yes,1,Public,3,Near,Low
64,64,High,Low,7,Yes,2,Public,3,Moderate,High
65,74,High,Medium,8,Yes,0,Public,3,Near,Medium
62,76,Medium,Medium,7,Yes,0,Public,2,Near,Low
72,93,Medium,Medium,7,Yes,0,Public,3,Moderate,Medium
64,74,Medium,Low,5,No,1,Public,3,Near,High
67,83,Medium,Medium,7,Yes,0,Public,4,Near,Medium
64,63,High,High,9,No,4,Private,3,Near,Low
61,67,Low,Medium,6,Yes,0,Private,2,Far,Medium
72,96,Medium,High,5,Yes,1,Public,4,Near,Medium
70,84,Medium,Medium,8,No,2,Public,1,Far,Medium
70,98,Medium,High,8,Yes,4,Public,2,Moderate,Medium
71,100,Medium,Medium,6,Yes,2,Public,2,Moderate,Medium
68,75,High,High,7,Yes,1,Public,2,Near,Low
68,72,Medium,Medium,7,Yes,3,Private,2,Near,Medium
70,94,High,High,7,Yes,0,Public,1,Near,Medium
73,100,High,High,8,Yes,2,Public,3,Near,High
69,85,High,Medium,6,Yes,2,Public,1,Far,Low
71,92,Medium,High,8,Yes,0,Public,3,Near,High
64,91,Low,Medium,6,Yes,1,Public,3,Near,Low
68,74,Medium,Medium,9,Yes,0,Private,3,Near,Low
69,83,Medium,Medium,10,Yes,0,Private,4,Moderate,Medium
70,93,High,Low,6,Yes,1,Public,2,Near,Medium
67,88,Medium,Medium,5,Yes,1,Public,4,Near,Medium
66,61,Medium,High,8,Yes,1,Private,0,Near,Medium
65,73,Medium,High,7,Yes,2,Public,5,Moderate,Medium
66,66,Medium,High,8,Yes,4,Public,3,Near,Low
61,69,Low,Medium,6,Yes,0,Private,4,Near,Medium
71,96,Low,Medium,7,Yes,0,Public,2,Near,Medium
60,61,High,Low,6,Yes,5,Public,3,Far,Medium
66,69,Medium,Medium,7,Yes,1,Public,2,Near,Medium
61,72,Low,Low,5,Yes,1,Private,4,Moderate,Low
68,85,Medium,Medium,7,Yes,2,Public,3,Moderate,High
68,81,Medium,High,5,No,2,Public,3,Near,High
65,69,Medium,Medium,6,Yes,2,Public,4,Near,Medium
65,67,High,Low,7,No,3,Public,1,Near,Medium
60,69,Medium,Medium,8,No,2,Public,2,Near,Medium
67,80,Low,Medium,8,Yes,2,Private,2,Near,Low
65,71,High,Medium,8,No,2,Public,4,Near,Medium
70,98,High,Medium,5,Yes,1,Public,3,Near,High
64,79,Medium,Medium,9,Yes,1,Public,4,Near,Medium
68,62,Medium,High,6,Yes,2,Public,4,Moderate,Medium
69,89,High,Medium,6,Yes,2,Public,4,Moderate,High
65,73,Medium,High,7,Yes,0,Public,3,Near,High
71,86,Medium,Medium,6,Yes,2,Private,3,Near,Medium
65,71,Medium,Medium,8,Yes,1,Public,4,Moderate,Low
65,83,Medium,High,8,Yes,0,Public,2,Moderate,Low
68,91,Medium,Medium,6,Yes,0,Public,2,Far,High
66,97,Medium,Low,7,Yes,1,Public,3,Near,High
65,70,Low,Low,7,No,1,Public,3,Near,Medium
71,73,High,High,8,Yes,2,Public,4,Near,Low
68,79,Low,Medium,6,Yes,3,Public,4,Moderate,Medium
70,97,Medium,Medium,6,No,2,Public,2,Near,Medium
62,64,High,Low,6,Yes,0,Private,2,Near,High
61,65,Medium,High,5,Yes,1,Public,2,Moderate,Low
70,80,High,High,6,Yes,0,Private,3,Near,Medium
65,64,Low,Medium,9,Yes,0,Public,2,Moderate,Medium
62,74,Medium,Medium,8,Yes,2,Public,2,Moderate,High
65,66,High,High,9,Yes,2,Public,4,Moderate,Medium
68,85,High,Medium,6,Yes,0,Private,4,Near,Low
70,98,Medium,High,4,Yes,2,Private,1,Far,Medium
68,100,Medium,Low,7,Yes,1,Private,3,Near,Low
69,75,Low,Medium,10,No,3,Private,6,Near,Medium
73,84,Medium,High,6,Yes,1,Private,3,Far,Medium
71,94,Medium,Medium,7,Yes,1,Private,5,Near,Medium
63,65,Low,High,5,Yes,0,Private,4,Near,Medium
66,88,High,Medium,7,Yes,2,Public,2,Near,Low
67,76,High,Low,7,Yes,1,Private,4,Near,Low
64,68,Low,High,4,Yes,0,Public,1,Near,Medium
66,76,Medium,Low,5,Yes,1,Public,3,Near,Medium
69,63,High,High,5,Yes,2,Public,3,Near,Medium
72,88,Medium,High,5,Yes,4,Private,6,Moderate,High
63,70,Medium,High,6,Yes,1,Public,4,Near,Medium
67,72,Medium,High,8,Yes,2,Public,2,Near,Medium
64,65,Low,Medium,6,Yes,1,Private,4,Near,Medium
68,95,Medium,Medium,9,Yes,4,Public,4,Moderate,High
71,80,High,High,6,Yes,1,Public,3,Moderate,High
67,83,Medium,Low,7,No,2,Public,4,Moderate,Medium
67,83,Medium,Low,8,Yes,1,Private,5,Near,Medium
64,76,Medium,Medium,9,Yes,2,Public,3,Near,Medium
63,68,High,Low,6,Yes,5,Public,3,Near,Low
72,90,High,High,8,Yes,2,Public,4,Near,Medium
63,65,Low,Medium,6,Yes,2,Public,2,Near,Low
67,64,High,Medium,10,Yes,2,Private,4,Far,Low
68,88,Low,Medium,5,No,1,Private,2,Near,Medium
64,68,Low,High,8,Yes,2,Private,3,Far,High
65,72,Medium,High,9,Yes,4,Public,3,Near,Medium
68,79,Medium,Low,5,Yes,2,Private,1,Far,High
66,78,Medium,High,8,Yes,2,Private,4,Near,Medium
73,88,Medium,Medium,6,Yes,4,Private,5,Far,High
68,85,Low,Medium,10,Yes,1,Private,3,Near,Medium
72,86,Medium,High,4,Yes,2,Private,5,Far,High
70,89,Medium,Medium,5,No,3,Public,0,Near,Medium
66,72,Medium,Medium,5,Yes,1,Private,4,Near,High
66,73,Low,Medium,5,Yes,3,Public,1,Near,High
66,78,Low,Low,8,Yes,2,Private,4,Near,Medium
65,72,High,Low,10,Yes,2,Public,2,Moderate,Low
71,99,High,Low,9,Yes,2,Public,5,Far,High
66,93,Low,Medium,7,Yes,1,Public,1,Moderate,Medium
63,67,Medium,Low,7,Yes,1,Private,4,Moderate,High
63,60,Medium,Medium,6,Yes,2,Public,3,Near,Medium
58,62,High,Medium,8,Yes,0,Public,3,Moderate,Low
68,70,Medium,High,7,Yes,3,Public,3,Near,Low
61,65,High,Medium,7,Yes,2,Public,3,Moderate,Medium
65,81,Medium,High,6,Yes,2,Public,4,Near,Low
67,94,High,Low,5,Yes,1,Public,3,Moderate,Medium
67,89,Low,High,7,Yes,1,Public,3,Near,Medium
62,69,High,Low,7,Yes,1,Private,4,Near,Medium
86,76,Medium,High,6,Yes,0,Public,1,Near,High
71,80,High,Medium,6,Yes,0,Public,5,Near,Low
70,92,Medium,Medium,8,Yes,1,Public,3,Near,Medium
